,movie,P,R,F1
0,tt2582782,[0.46761835],[0.5248654],[0.4934923]
1,tt4777008,[0.45110863],[0.5368974],[0.48828802]
2,tt2239822,[0.5148466],[0.47115856],[0.49141675]
3,tt4786282,[0.46639773],[0.5344776],[0.49685556]
4,tt5783956,[0.50255126],[0.5035208],[0.5001136]
5,tt8579674,[0.51097697],[0.49837217],[0.5026988]
6,tt9243946,[0.51192385],[0.5017947],[0.5058046]
7,tt1712261,[0.5390648],[0.49673617],[0.51516175]
8,tt1298644,[0.48645592],[0.4601793],[0.47095186]
9,tt1560220,[0.54094267],[0.50213104],[0.5197069]
10,tt8350360,[0.43859798],[0.5263865],[0.4762834]
11,tt8201170,[0.44254386],[0.5043444],[0.470557]
12,tt9354842,[0.45457375],[0.53787214],[0.49063566]
13,tt3766354,[0.47207224],[0.51118916],[0.48921633]
14,tt7984766,[0.47326806],[0.5318565],[0.4991093]
15,tt4971344,[0.54537433],[0.47008082],[0.50320065]
16,tt2226597,[0.47599307],[0.4756585],[0.47384164]
17,tt3907584,[0.4412452],[0.51916426],[0.47640198]
18,tt8155288,[0.47065344],[0.5384106],[0.50037545]
19,tt6857112,[0.51293427],[0.54456705],[0.5269195]
20,tt2543164,[0.5323204],[0.5049587],[0.517457]
21,tt1212428,[0.45376146],[0.5145175],[0.48122558]
22,tt3717490,[0.46718925],[0.52776706],[0.4941736]
23,tt6781982,[0.5146752],[0.4624182],[0.48549458]
24,tt3262342,[0.552496],[0.5081367],[0.5290236]
25,tt3861390,[0.5181541],[0.5165565],[0.5160654]
26,tt1860242,[0.4814304],[0.49869472],[0.48758176]
27,tt1950186,[0.46487215],[0.53780836],[0.49664795]
28,tt6146586,[0.4060884],[0.52824354],[0.4564612]
29,tt7043012,[0.4872285],[0.5031956],[0.4936964]
30,tt1025100,[0.5102092],[0.504329],[0.5055021]
31,tt2674426,[0.4935756],[0.54860115],[0.5183751]
32,tt1634106,[0.48190936],[0.5364258],[0.5056182]
33,tt8954732,[0.48250476],[0.4751315],[0.4751584]
34,tt3387520,[0.49845263],[0.4995611],[0.49783394]
35,tt2543472,[0.47310552],[0.5018469],[0.484348]
36,tt1700841,[0.46985167],[0.5241201],[0.4942237]
37,tt1856101,[0.52711797],[0.54282606],[0.53209627]
38,tt8772262,[0.51219124],[0.48735017],[0.49764535]
39,tt4500922,[0.47888425],[0.5128724],[0.49406603]
40,tt2567026,[0.51014066],[0.4585659],[0.48107412]
41,tt0490215,[0.48688745],[0.47472537],[0.48000774]
42,tt1206885,[0.49010193],[0.5358206],[0.50972646]
43,tt2869728,[0.5096592],[0.5317289],[0.51990485]
44,tt5649144,[0.500005],[0.5488529],[0.52194744]
45,tt8079248,[0.4885146],[0.5079856],[0.4967778]
46,tt2283362,[0.49130777],[0.54432166],[0.5140922]
47,tt2386490,[0.51294947],[0.544903],[0.5268801]
48,tt3522806,[0.4431989],[0.51342565],[0.47387496]
49,tt1959563,[0.52949905],[0.4530079],[0.4859746]
50,tt5164432,[0.5228837],[0.44326362],[0.47869682]
51,tt3748528,[0.49774134],[0.55395776],[0.5233607]
52,tt1365519,[0.543548],[0.41791534],[0.4710001]
53,tt3748172,[0.5014631],[0.54712975],[0.52191645]
54,tt4547056,[0.48418233],[0.503486],[0.4925084]
55,tt3606752,[0.5533521],[0.45753244],[0.49936554]
56,tt4560436,[0.50089705],[0.49566337],[0.4950595]
57,tt5001718,[0.5116452],[0.48342496],[0.49560386]
58,tt3882082,[0.52080363],[0.5206432],[0.5196033]
59,tt5776858,[0.49539196],[0.51018435],[0.50178313]
60,tt6499752,[0.5238154],[0.5034397],[0.5121459]
61,tt8228288,[0.4627719],[0.5157595],[0.48619798]
62,tt4123430,[0.48218527],[0.54205126],[0.50699544]
63,tt4139588,[0.50930613],[0.5047773],[0.50557905]
64,tt3499096,[0.5247305],[0.51400155],[0.5189089]
65,tt1469304,[0.49405396],[0.5509721],[0.51922935]
66,tt2709692,[0.55018884],[0.42086285],[0.47481036]
67,tt3758172,[0.48910987],[0.4804726],[0.4830783]
68,tt2119543,[0.51042867],[0.52903426],[0.51804894]
69,tt2025690,[0.49507913],[0.5483971],[0.5196055]
70,tt3691740,[0.5468346],[0.49913424],[0.52114815]
71,tt4550098,[0.46556628],[0.51536],[0.48740244]
72,tt4682786,[0.47576034],[0.5248008],[0.49728572]
73,tt1270797,[0.48152667],[0.5151365],[0.4950883]
74,tt4912910,[0.43395564],[0.50972563],[0.46747702]
75,tt1878870,[0.5140434],[0.5192122],[0.5153085]
76,tt0837563,[0.50623506],[0.46802106],[0.48454848]
77,tt7131622,[0.50634485],[0.45559788],[0.47800162]
78,tt2461150,[0.48615912],[0.52050436],[0.5007784]
79,tt4857264,[0.52659947],[0.41118672],[0.46003038]
80,tt8364368,[0.50206995],[0.4438246],[0.46996194]
81,tt1072748,[0.5278376],[0.44266763],[0.47835106]
82,tt4881806,[0.4890431],[0.5091788],[0.49709353]
83,tt5758778,[0.47487688],[0.5528367],[0.5092799]
84,tt3110958,[0.51282996],[0.50565356],[0.5087301]
85,tt4438848,[0.4604327],[0.40749407],[0.43088424]
86,tt4477536,[0.45763123],[0.459025],[0.45685196]
87,tt2932536,[0.49258012],[0.46948197],[0.47950563]
88,tt7349950,[0.49317035],[0.53868335],[0.5135882]
89,tt5726616,[0.47449416],[0.5208332],[0.49560308]
90,tt5523010,[0.5426237],[0.4355737],[0.48201483]
91,tt5463162,[0.45149848],[0.53675157],[0.4874523]
92,tt2771200,[0.5030919],[0.4868913],[0.49347222]
93,tt1972591,[0.54720765],[0.46739283],[0.50316924]
94,tt3521126,[0.51214504],[0.56047404],[0.5346245]
95,tt2638144,[0.52576685],[0.54708266],[0.5357161]
96,tt2788732,[0.5181987],[0.51299185],[0.5149948]
97,tt4016934,[0.45520627],[0.4833763],[0.46693906]
98,tt1289401,[0.5370301],[0.522025],[0.52882665]
99,tt1961175,[0.4600465],[0.4664434],[0.46141616]
100,tt2034800,[0.5437219],[0.49053878],[0.5148148]
101,tt4975722,[0.5063834],[0.5422127],[0.5232633]
102,tt7784604,[0.49295852],[0.5013535],[0.49634317]
103,tt7121252,[0.4720816],[0.48143506],[0.47440273]
104,tt7401588,[0.45768687],[0.56660354],[0.5049531]
105,tt4073790,[0.48594654],[0.4790557],[0.48016647]
106,tt2139881,[0.4910843],[0.45239627],[0.46850297]
107,tt5164214,[0.547734],[0.4174672],[0.47115764]
108,tt6266538,[0.47375315],[0.5381862],[0.50197214]
109,tt4877122,[0.4228841],[0.5184475],[0.4627465]
110,tt4094724,[0.51272583],[0.47178945],[0.49084762]
111,tt4698684,[0.47908482],[0.53599757],[0.5053261]
112,tt4530422,[0.51760334],[0.5460082],[0.5302572]
113,tt6823368,[0.50940764],[0.5351569],[0.520647]
114,tt2798920,[0.49957302],[0.54147696],[0.5187428]
115,tt2873282,[0.50529623],[0.5298009],[0.51600695]
116,tt3498820,[0.5089069],[0.564733],[0.53304636]
117,tt1711525,[0.49204323],[0.49185532],[0.4902505]
118,tt4687108,[0.4451805],[0.45958805],[0.45068675]
119,tt4154756,[0.4734416],[0.54776263],[0.50383383]
120,tt3501632,[0.4792028],[0.551306],[0.51146156]
121,tt4765284,[0.42656663],[0.5331153],[0.4712791]
122,tt4572514,[0.5108519],[0.5009607],[0.504141]
123,tt3731562,[0.5043314],[0.52237713],[0.5118193]
124,tt5028340,[0.5336206],[0.4373349],[0.47949943]
125,tt5886046,[0.46256867],[0.4912655],[0.47524056]
126,tt5140878,[0.5057782],[0.50066835],[0.5010355]
127,tt4913966,[0.49315324],[0.44150856],[0.4641446]
128,tt2452386,[0.4823047],[0.34915635],[0.40313017]
129,tt4209788,[0.5242474],[0.50135875],[0.5103668]
130,tt2948356,[0.4585539],[0.5165778],[0.48413897]
131,tt3774114,[0.53534657],[0.4934764],[0.5127377]
132,tt4799066,[0.47569612],[0.43881023],[0.45377982]
133,tt2388771,[0.538535],[0.4322177],[0.47766167]
134,tt5814534,[0.4977987],[0.5204638],[0.5071536]
135,tt1355644,[0.5256604],[0.54643065],[0.5347356]
136,tt2119532,[0.51341915],[0.54952186],[0.5304034]
137,tt3410834,[0.55261546],[0.47807327],[0.5117958]
138,tt4901306,[0.51050514],[0.4870473],[0.4968293]
139,tt1935859,[0.4966265],[0.4327171],[0.46202412]
140,tt7984734,[0.49783498],[0.52153087],[0.5067408]
141,tt3387542,[0.49428317],[0.46019027],[0.4760094]
142,tt5078204,[0.44711953],[0.4559388],[0.44951192]
143,tt5362988,[0.50977],[0.5272186],[0.51732814]
144,tt8946378,[0.48358142],[0.46047002],[0.47046727]
145,tt2404233,[0.47979307],[0.5308542],[0.50309306]
146,tt2568862,[0.50798684],[0.4782422],[0.491387]
147,tt6320628,[0.45526645],[0.49160928],[0.47052997]
148,tt0974015,[0.46701482],[0.5196953],[0.48877847]
149,tt4695012,[0.5366634],[0.39891076],[0.4559452]
150,tt2267968,[0.51968175],[0.5361219],[0.52667415]
151,tt7026672,[0.5218582],[0.4708322],[0.49394014]
152,tt4136084,[0.51190925],[0.50659525],[0.5088621]
153,tt1536537,[0.49106717],[0.4806095],[0.48319677]
154,tt1564777,[0.54501164],[0.49621657],[0.51839525]
155,tt3263904,[0.54996485],[0.49343622],[0.51927674]
156,tt1571234,[0.45987815],[0.5396049],[0.49507868]
157,tt4172430,[0.47141796],[0.5316676],[0.49786252]
158,tt2935510,[0.5386724],[0.5001007],[0.5180345]
159,tt6294822,[0.51081973],[0.5353732],[0.5220874]
160,tt5113040,[0.5151319],[0.49375963],[0.5025755]
161,tt3402236,[0.48945498],[0.5251158],[0.50487655]
162,tt6850820,[0.49682817],[0.47201014],[0.48099262]
163,tt5774060,[0.4884441],[0.5373951],[0.5104049]
164,tt4799050,[0.46850967],[0.48241222],[0.472016]
165,tt6921996,[0.46128255],[0.51403344],[0.4844076]
166,tt4701182,[0.51410115],[0.43970954],[0.4727569]
167,tt3104988,[0.47797856],[0.52697164],[0.5000055]
168,tt7959026,[0.4756381],[0.52203226],[0.49636728]
169,tt3300542,[0.49636707],[0.482015],[0.48817167]
170,tt4925292,[0.53877854],[0.4708603],[0.50158286]
171,tt8404614,[0.45084283],[0.52588594],[0.48298886]
172,tt2387499,[0.46529248],[0.5464792],[0.5004404]
173,tt1213641,[0.5143476],[0.52880436],[0.5198726]
174,tt7456310,[0.47052142],[0.50010496],[0.48222753]
175,tt0448115,[0.5002468],[0.42890814],[0.4601118]
176,tt4126476,[0.4404048],[0.38398743],[0.4092759]
177,tt0437086,[0.5099359],[0.50093955],[0.5040244]
178,tt4630562,[0.48366305],[0.5149388],[0.49817064]
179,tt4196776,[0.523784],[0.5541766],[0.538041]
180,tt3794354,[0.5025043],[0.5488765],[0.5219531]
181,tt2039338,[0.46351585],[0.45474645],[0.4559208]
182,tt3778644,[0.50013214],[0.5256022],[0.51088077]
183,tt2261287,[0.49960178],[0.53959984],[0.51771486]
184,tt6450804,[0.5190922],[0.49773034],[0.5067554]
185,tt4501244,[0.44998905],[0.5280706],[0.48328763]
186,tt1396484,[0.5201242],[0.4870909],[0.5022956]
187,tt2250912,[0.5135887],[0.48512363],[0.49643755]
188,tt5290524,[0.45614207],[0.54403555],[0.4926106]
189,tt3783958,[0.44489175],[0.47393072],[0.45779988]
190,tt3281548,[0.5085334],[0.45923537],[0.4807522]
191,tt1758810,[0.5215029],[0.4945061],[0.5063552]
192,tt1226837,[0.5235187],[0.4821266],[0.49945697]
193,tt7752126,[0.5253954],[0.50067574],[0.5109981]
194,tt2283336,[0.4725127],[0.5226918],[0.49452665]
195,tt7349662,[0.45828912],[0.45755768],[0.4554759]
196,tt1489887,[0.48455083],[0.51709473],[0.4994499]
197,tt5638642,[0.5231402],[0.5343369],[0.52775514]
198,tt5095030,[0.4922552],[0.5445521],[0.51586914]
199,tt4154664,[0.51745015],[0.488822],[0.4999336]
200,tt6394270,[0.52282614],[0.38108382],[0.43966535]
201,tt7975244,[0.45395124],[0.5292076],[0.48677418]
202,tt3631112,[0.48593614],[0.54752207],[0.5128116]
203,tt1413492,[0.48825237],[0.5465899],[0.5142863]
204,tt4633694,[0.44986364],[0.53480107],[0.48573378]
205,tt1489889,[0.5243179],[0.49750856],[0.50902295]
206,tt3874544,[0.5017477],[0.49725533],[0.49809784]
207,tt4972582,[0.50847954],[0.512145],[0.5092642]
208,tt5109784,[0.45872238],[0.47556192],[0.46531537]
209,tt2990140,[0.45037338],[0.5021043],[0.47344473]
210,tt5052448,[0.5002284],[0.5435484],[0.5204163]
211,tt1292566,[0.51797795],[0.4807393],[0.49746048]
212,tt4729430,[0.51660496],[0.48163214],[0.4964505]
